id,daySlotId,componentRole,nombre,descripcion,calorias,imagen,tipo,catalogItemId
c8d9681f-18cd-4cb7-97e0-c356260be06a,cd47b6d1-9b2c-4ec5-9271-321ff9a0e5b1,PLATILLO_PRINCIPAL,Yakimeshi de pollo,,450,,comida,52d6e3f9-c09b-432b-829a-3bbd8a45e3c3
c96c9fa5-0249-46d2-b21a-1fd87738decb,322c2da9-f069-48f8-ba94-443406ce276f,GUARNICION_1,Mac n cheese,,282,/images/placeholder-menu.jpg,guarnicion,a01569f5-f6bf-41d7-8daa-6f305b6116ad
ca504f9a-ac1f-467f-abe3-6326200c4146,3e1eaa91-fa48-4ef6-a6d5-5fca39c535a3,PLATILLO_PRINCIPAL,Atún a la mexicana,,418,,cena,b2aeffc4-05e9-47d3-be53-770f3cd0b117
cb439abb-2750-4b7c-bcc0-96b32ecf0886,2d786a2c-5b24-4e5b-b0b9-b1c718ae213a,GUARNICION_1,Arroz blanco,,222,/images/placeholder-menu.jpg,guarnicion,da2f1708-c1ed-4fcd-8aab-248bdac4b26d
cd65db60-5e54-4a1e-a8d8-77ff549cbda0,0c675e2a-3d5b-447c-a48d-6b17d2c4d72c,PLATILLO_PRINCIPAL,Tortitas de atún,,371,,cena,342478e8-fa8e-46ea-955c-3979589c3f18
cd6ae565-d940-4e6e-aa2e-8b944e693a33,22ad2eec-347b-40ce-b3ec-4c6d41d1b49b,GUARNICION_1,Frijol,,278,/images/placeholder-menu.jpg,guarnicion,475ae4c8-19a7-468a-92b3-7408c2af1b73
d0713a70-3942-48fb-904a-f8133b828d5b,de121676-65fb-4d7f-a3cc-56453ba9db42,PLATILLO_PRINCIPAL,Pescado adobado,,308,,cena,df9a9d62-1502-4b71-b6c4-45a163f429b7
d0dff73d-1198-47cd-9b42-5d7bcabf0862,ef008384-1e27-40c6-bb1b-4d696943975d,PLATILLO_PRINCIPAL,Pancakes de chocolate con plátano,,543,,desayuno,5d111722-0401-4720-b131-fe4a1d89fe5b
d531e44d-f584-4561-b496-f28adba12836,b8a85fbf-c409-4afa-9edb-0d0a27b84df5,PLATILLO_PRINCIPAL,Atún a la mexicana,,418,,cena,b2aeffc4-05e9-47d3-be53-770f3cd0b117
d5b6d02e-090b-4f44-bf0e-669d628afd1b,2c9f6dd9-374c-4466-a4e7-c3f642f2d6e7,PLATILLO_PRINCIPAL,Yogurt con fruta,,123,,snack,bb153e11-3fb9-47e2-a065-40d819e151d2
d84d5ef6-0e05-4969-a824-4a19e2661f36,188ab682-b5de-405a-ac76-19df59c0acad,PLATILLO_PRINCIPAL,Huevos con pechuga de pavo,,255,,desayuno,baa5b968-da29-46ab-9b43-cdc50b011317
d8fd299c-0df3-41c3-a4f0-78bcf8fdcf27,2d8b89cb-245b-427d-a67e-9fe117013983,PLATILLO_PRINCIPAL,Entomatadas de queso panela,,456,,desayuno,703dcb3d-34af-4e37-8a3e-ae04cdfc9784
da6eefef-0e39-4817-a7ed-30524890dc29,fea12d2f-f95d-4b0a-bab7-d51f60373f8c,PLATILLO_PRINCIPAL,Migas de huevo,,278,,desayuno,7e205e5a-63dc-445a-85e3-e8075b961a38
dda22004-9d02-4c57-bf9e-559ce66c26af,6107339e-c38d-4213-a131-1292b565a67c,PLATILLO_PRINCIPAL,Fajitas de res,Menu basado en la imagen de referencia.,558,/images/placeholder-menu.jpg,comida,
dee40927-3fa3-4ec6-a170-30d4578fdc91,9cdf7c97-88cc-4dc9-95f4-1e1b0428202b,PLATILLO_PRINCIPAL,Pescado teriyaki,Menu basado en la imagen de referencia.,516,/images/placeholder-menu.jpg,cena,
dfc1f696-e1a5-47a8-a73b-c6c5aafc3846,b4404098-2c6b-4bb6-878f-210731bad56f,PLATILLO_PRINCIPAL,Bistec ranchero,,318,,comida,9dab025d-e372-43e5-8d90-7e8b9893ffe7
e12657a6-8ab9-4d55-b64e-259c7c87e7df,1d34d24c-d0e7-45a3-96a7-ef23c1b3f083,PLATILLO_PRINCIPAL,Sin colacion asignada,,0,/images/placeholder-menu.jpg,snack,
e1b7f309-8445-4455-945f-7bc200cf47da,63d645fa-8bb0-489a-9690-3eb0baeab791,PLATILLO_PRINCIPAL,Ensalada de pechuga,Menu basado en la imagen de referencia.,416,/images/placeholder-menu.jpg,cena,
e28461ff-3ee1-4d23-bce6-97859f0a879c,af4a41e8-42cc-42d9-ba71-76509b5f0a7b,PLATILLO_PRINCIPAL,Pan francés,,290,,desayuno,0a956c5f-4b1f-4aa7-924d-1a170c6758d8
e414a35f-13ae-4e31-bbae-2ffd7645fa5f,ddb67583-c4b1-42ba-86c1-04469f682e17,PLATILLO_PRINCIPAL,Chiles rellenos de panela,Menu basado en la imagen de referencia.,662,/images/placeholder-menu.jpg,cena,67dcb986-e98c-4f98-bcdd-62032d19f305
